Nodos creados:77
Profundidad maxima del arbol generado:39
Simbolo -- Caracter 
u -------- 11111111111111111111111111111111111110
v -------- 11111111111111111111111111111111111111
w -------- 1111111111111111111111111111111111110
x -------- 111111111111111111111111111111111110
y -------- 11111111111111111111111111111111110
z -------- 1111111111111111111111111111111110
, -------- 111111111111111111111111111111110
. -------- 11111111111111111111111111111110
  -------- 1111111111111111111111111111110
0 -------- 111111111111111111111111111110
1 -------- 11111111111111111111111111110
2 -------- 1111111111111111111111111110
3 -------- 111111111111111111111111110
4 -------- 11111111111111111111111110
5 -------- 1111111111111111111111110
6 -------- 111111111111111111111110
7 -------- 11111111111111111111110
8 -------- 1111111111111111111110
9 -------- 111111111111111111110
a -------- 11111111111111111110
b -------- 1111111111111111110
c -------- 111111111111111110
d -------- 11111111111111110
e -------- 1111111111111110
f -------- 111111111111110
g -------- 11111111111110
h -------- 1111111111110
i -------- 111111111110
j -------- 11111111110
k -------- 1111111110
l -------- 111111110
m -------- 11111110
n -------- 1111110
o -------- 111110
p -------- 11110
q -------- 1110
r -------- 110
s -------- 10
t -------- 0
